game_id,round_index,player_id,round_begin_ts,player_move,player_rt,player_outcome,player_points,player_total
476614b1-3c2e-4acd-afcc-001b4dcb570a,42,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849178287,scissors,1020,win,3,19
476614b1-3c2e-4acd-afcc-001b4dcb570a,43,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849181136,scissors,1003,loss,-1,38
476614b1-3c2e-4acd-afcc-001b4dcb570a,43,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849181136,rock,1601,win,3,22
476614b1-3c2e-4acd-afcc-001b4dcb570a,44,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849184255,scissors,87,tie,0,37
476614b1-3c2e-4acd-afcc-001b4dcb570a,44,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849184255,scissors,2275,tie,0,25
476614b1-3c2e-4acd-afcc-001b4dcb570a,45,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849187784,rock,965,loss,-1,37
476614b1-3c2e-4acd-afcc-001b4dcb570a,45,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849187784,paper,1170,win,3,25
476614b1-3c2e-4acd-afcc-001b4dcb570a,46,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849190295,scissors,903,tie,0,36
476614b1-3c2e-4acd-afcc-001b4dcb570a,46,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849190295,scissors,1955,tie,0,28
476614b1-3c2e-4acd-afcc-001b4dcb570a,47,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849193486,paper,888,win,3,36
476614b1-3c2e-4acd-afcc-001b4dcb570a,47,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849193486,rock,925,loss,-1,28
476614b1-3c2e-4acd-afcc-001b4dcb570a,48,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849195631,paper,902,loss,-1,39
